Player,Team,Position,Off. Zone Starts,Off. Zone Start %,Off. Zone Faceoffs,Off. Zone Faceoff %
Dylan Strome,WSH,C,286,74.87,445,67.42
Nic Dowd,"VGK, WSH",C,68,24.91,133,27.59
Macklin Celebrini,S.J,C,239,68.09,480,59.26
Cole Schwindt,FLA,R,45,60.81,65,52
Jacob Melanson,SEA,R,21,32.81,40,33.9
Zach Whitecloud,"CGY, VGK",D,144,45.28,357,48.97
Justin Brazeau,PIT,R,108,67.5,199,59.23
Matthew Robertson,NYR,D,78,36.11,262,47.12
Ryan Poehling,ANA,C,121,40.74,226,40.79
Hunter Brzustewicz,CGY,D,53,48.18,140,56.45
Erik Haula,NSH,L,150,52.82,328,49.32
Kris Letang,PIT,D,162,62.07,433,57.05
Brett Kulak,"COL, EDM, PIT",D,133,49.63,347,50.14
Tanner Jeannot,BOS,L,92,40.35,184,40
Pius Suter,STL,C,101,44.49,183,43.16
Cam Fowler,STL,D,209,50.73,464,53.21
Nils Lundkvist,DAL,D,82,42.05,205,44.18
Bryan Rust,PIT,R,214,63.13,413,58.75
Neal Pionk,WPG,D,104,49.29,262,54.02
Oskar Bäck,DAL,C,57,38.78,113,35.2
Jonas Rondbjerg,VGK,R,8,72.73,11,57.89
Mathieu Joseph,"L.A, STL",R,69,46.62,117,42.09
Gabriel Vilardi,WPG,C,244,65.42,459,64.02
Michael Kesselring,BUF,D,40,41.24,120,51.72
David Kampf,"VAN, WSH",C,70,38.04,136,39.53
Peyton Krebs,BUF,C,174,50.58,266,44.63
Lenni Hameenaho,N.J,R,59,41.84,103,41.7
Will Smith,S.J,C,183,68.28,369,60.79
Nicolas Deslauriers,"CAR, PHI",L,37,52.86,59,49.17
Harrison Brunicke,PIT,D,13,59.09,30,50
Alex Steeves,BOS,C,66,48.18,120,47.43
John Klingberg,S.J,D,113,50.45,296,52.2
Colton Sissons,VGK,C,75,38.27,130,35.71
Jansen Harkins,ANA,C,58,44.62,98,43.36
Noel Acciari,PIT,C,31,11.03,69,15.1
Morgan Geekie,BOS,C,199,60.67,358,53.59
Jonathan Aspirot,BOS,D,90,39.47,255,45.37
Alexander Wennberg,S.J,C,144,40.45,269,39.68
Nikita Zadorov,BOS,D,127,37.91,365,43.5
Nick Seeler,PHI,D,109,44.86,309,52.2
Esa Lindell,DAL,D,140,42.81,376,48.08
Arshdeep Bains,VAN,L,30,75,48,60
Vladislav Kolyachonok,"BOS, DAL",D,15,48.39,40,51.28
Nick Foligno,"CHI, MIN",L,49,31.82,109,36.21
Adam Henrique,EDM,C,89,37.24,155,36.73
Declan Chisholm,WSH,D,19,35.19,67,44.97
Michael McCarron,"MIN, NSH",C,55,23.61,156,28.78
Logan Mailloux,STL,D,142,56.8,305,56.59
Evgeni Malkin,PIT,C,132,76.74,267,67.94
Connor Clifton,PIT,D,34,31.48,118,37.34
Nick Jensen,OTT,D,94,48.45,232,50.22
Filip Chytil,VAN,C,35,64.81,61,59.8
Jack Quinn,BUF,R,192,52.75,288,49.15
Darnell Nurse,EDM,D,164,52.73,448,52.96
Pavel Zacha,BOS,C,131,43.52,270,44.26
Jordan Eberle,SEA,R,216,58.38,347,53.72
Morgan Rielly,TOR,D,287,67.06,583,64.78
Warren Foegele,"L.A, OTT",L,113,49.56,219,45.63
John Tavares,TOR,C,219,56.15,411,53.59
Ross Johnston,ANA,L,90,43.06,139,40.41
Egor Zamula,"CBJ, PHI",D,41,59.42,103,57.87
Brandon Montour,SEA,D,128,48.67,361,50.99
Anthony Mantha,PIT,R,134,72.83,262,63.44
Martin Pospisil,CGY,C,24,48,51,50.5
Travis Sanheim,PHI,D,136,36.96,366,42.36
Jake Walman,EDM,D,113,53.05,285,56.55
Yan Kuznetsov,CGY,D,106,43.62,316,54.02
Brady Skjei,NSH,D,131,38.08,378,41.27
Jason Dickinson,"CHI, EDM",C,73,25.8,146,27.97
Jared Spurgeon,MIN,D,111,38.28,360,47.12
Cole Hutson,WSH,D,18,47.37,60,54.55
Samuel Helenius,L.A,C,26,42.62,53,34.87
Nikita Grebenkin,PHI,R,70,50.72,129,43.43
Alexandre Carrier,MTL,D,83,35.62,239,41.28
Filip Hallander,PIT,C,22,55,42,49.41
Drew O'Connor,VAN,L,153,56.04,267,51.05
Josh Anderson,MTL,R,80,35.4,148,35.24
Jamie Drysdale,PHI,D,139,49.29,401,53.11
Nate Danielson,DET,C,43,50,66,47.48
Justin Hryckowian,DAL,C,86,43,175,43
Andrew Peeke,BOS,D,98,34.88,306,42.32
Noah Cates,PHI,L,163,58.42,293,53.37
William Nylander,TOR,R,209,65.52,405,61.09
Tomas Nosek,FLA,L,37,52.11,67,54.92
Kenny Connors,L.A,C,3,50,4,44.44
Trevor van Riemsdyk,WSH,D,68,35.05,206,42.21
Aatu Räty,VAN,C,107,36.77,202,40.89
Sam Carrick,"BUF, NYR",C,53,29.12,98,29.7
Rasmus Ristolainen,PHI,D,72,38.1,187,42.69
Sammy Blais,"MTL, TOR",L,22,55,42,52.5
Gabe Perreault,NYR,R,118,58.13,204,51.78
Jonathan Toews,WPG,C,199,61.42,332,56.85
Jack St. Ivany,PIT,D,16,35.56,76,45.78
Tye Kartye,"NYR, SEA",L,60,33.9,108,34.73
Vincent Desharnais,S.J,D,61,33.7,166,39.06
Elmer Soderblom,"DET, PIT",L,74,39.57,128,38.21
Mason Lohrei,BOS,D,115,50.44,308,52.83
Jesper Boqvist,FLA,C,129,56.09,223,52.72
Brandon Tanev,UTA,L,72,47.06,112,40.58
Joe Veleno,MTL,C,98,49.75,151,44.02
Thomas Harley,DAL,D,143,49.31,375,50.61
Hunter McDonald,PHI,D,3,100,4,80
Sam Dickinson,S.J,D,108,45.76,277,46.55
Marat Khusnutdinov,BOS,C,160,57.76,291,52.34
Liam O'Brien,UTA,C,60,56.6,92,48.42
Jimmy Snuggerud,STL,R,182,56.7,299,52.18
Nick Perbix,NSH,D,135,47.37,359,46.81
Ozzy Wiesblatt,NSH,C,31,31.96,61,28.24
Rasmus Sandin,WSH,D,123,44.57,349,49.36
Ryan Lomberg,CGY,L,35,39.77,80,40
Mattias Samuelsson,BUF,D,163,42.01,411,46.65
Jack Finley,"STL, T.B",C,55,32.74,85,33.07
Logan Stanley,"BUF, WPG",D,105,42.34,251,44.74
Morgan Barron,WPG,C,62,27.31,103,28.14
Mark Kastelic,BOS,C,99,37.36,174,34.87
Arber Xhekaj,MTL,D,64,58.72,168,56.57
Zeev Buium,"MIN, VAN",D,181,61.56,432,58.06
Frank Vatrano,ANA,R,77,44.51,131,43.96
Adam Klapka,CGY,R,82,46.59,167,46.26
Dakota Mermis,TOR,D,12,52.17,31,51.67
Noah Dobson,MTL,D,183,50.27,464,50.43
Brayden Schenn,"NYI, STL",C,202,56.11,351,52.54
Kirby Dach,MTL,C,59,52.21,112,48.7
Colton Dach,"CHI, EDM",C,68,45.33,134,45.73
Jaroslav Chmelar,NYR,R,30,55.56,52,47.71
Gustav Nyquist,WPG,R,94,64.83,156,56.12
Sam Lafferty,CHI,C,34,65.38,54,54
Tyler Bertuzzi,CHI,L,170,52.15,298,46.42
Jacob Bryson,"BUF, WPG",D,44,38.6,121,48.4
Lars Eller,OTT,C,114,42.54,160,37.38
Evander Kane,VAN,L,185,57.28,327,52.74
Tyler Toffoli,S.J,C,152,53.71,297,49.58
Jonny Brodzinski,NYR,C,65,48.87,132,44.9
Conor Garland,"CBJ, VAN",R,145,47.08,243,42.41
Martin Fehérváry,WSH,D,72,26.97,250,35.97
Alec Regula,EDM,D,37,50.68,105,54.12
Colin Blackwell,DAL,C,58,35.8,126,38.07
Colton White,N.J,D,29,44.62,65,50
Ethen Frank,WSH,"C, R",65,31.25,109,32.73
Oliver Moore,CHI,C,101,58.05,174,54.72
Nathan Bastian,DAL,R,33,51.56,59,42.14
James van Riemsdyk,DET,L,103,48.36,181,44.8
Rory Kerins,CGY,C,6,46.15,17,56.67
Pierre-Luc Dubois,WSH,"C, L",67,50.38,102,42.5
Tyler Myers,"DAL, VAN",D,97,35.79,257,40.99
Dalibor Dvorsky,STL,R,161,60.98,278,57.32
Ryan Donato,CHI,C,114,42.54,216,39.85
Dante Fabbro,CBJ,D,112,43.41,296,47.36
Kevin Korchinski,CHI,D,25,55.56,59,55.66
Connor McMichael,WSH,"C, L",154,49.36,272,47.06
Kyle MacLean,NYI,C,76,50,142,48.8
Dmitri Simashev,UTA,D,53,53,114,50.89
Berkly Catton,SEA,C,183,82.06,291,70.46
James Hagens,BOS,C,4,66.67,9,52.94
Mason Appleton,DET,C,111,48.26,187,45.17
Otto Stenberg,STL,C,58,46.77,99,44
Matias Maccelli,TOR,L,134,59.56,289,57.34
Trent Frederic,EDM,C,108,47.16,170,43.26
David Tomasek,EDM,R,30,60,47,51.09
Matt Grzelcyk,CHI,D,143,54.58,322,53.67
Ryan Pulock,NYI,D,147,44.95,369,48.49
Kaapo Kakko,SEA,R,194,69.78,300,61.22
Bobby McMann,"SEA, TOR",C,171,50,303,45.84
Matty Beniers,SEA,C,225,57.54,370,52.26
Nick Lardis,CHI,L,80,62.5,131,58.48
Colton Parayko,STL,D,164,41.1,380,42.74
Owen Pickering,PIT,D,5,38.46,13,50
Oliver Ekman-Larsson,TOR,D,268,56.07,543,55.64
Elias Lindholm,BOS,C,189,56.59,335,51.07
Nicolas Roy,"COL, TOR",C,80,33.76,162,34.76
Adam Edstrom,NYR,C,31,37.8,58,35.8
Philip Broberg,STL,D,172,42.47,394,45.18
Justin Faulk,"DET, STL",D,169,46.56,382,49.29
Taylor Raddysh,NYR,R,67,39.64,130,38.01
Hunter Haight,MIN,C,13,68.42,31,63.27
Arttu Hyry,DAL,R,21,45.65,45,42.45
Kevin Stenlund,UTA,C,110,32.26,190,32.09
Matt Luff,STL,R,7,53.85,12,57.14
Sam Morton,CGY,C,0,0,1,25
Jared Davidson,MTL,C,12,60,19,47.5
Cole Koepke,WPG,L,61,38.13,102,36.82
Zachary L'Heureux,NSH,L,27,36.99,68,37.16
Kevin Bahl,CGY,D,154,38.6,380,43.33
Ty Emberson,EDM,D,80,34.19,220,42.72
Stefan Noesen,N.J,R,48,47.52,90,47.37
Travis Konecny,PHI,R,173,53.73,314,50.81
Danila Yurov,MIN,R,113,56.78,267,54.71
Teuvo Teravainen,CHI,C,134,50.95,234,45.79
Zach Bogosian,MIN,D,41,49.4,134,51.34
Scott Sabourin,T.B,R,20,48.78,36,42.35
William Villeneuve,TOR,D,8,50,20,57.14
Nikita Chibrikov,WPG,R,23,67.65,30,65.22
Albert Johansson,DET,D,131,45.02,325,48.15
Jake Evans,MTL,C,64,27.83,131,30.18
Chris Tanev,TOR,D,13,31.71,33,36.67
Cam York,PHI,D,139,44.13,353,47.64
Jean-Gabriel Pageau,NYI,C,137,46.92,252,44.84
Sam Steel,DAL,C,151,56.55,285,54.39
J.T. Compher,DET,L,151,45.76,282,43.86
Steven Santini,T.B,D,14,51.85,24,47.06
Lian Bichsel,DAL,D,50,39.37,128,39.51
Nathan Gaucher,ANA,C,6,54.55,9,56.25
Carson Soucy,"NYI, NYR",D,95,41.13,272,48.92
Ben Chiarot,DET,D,164,43.73,444,48.58
Zach Metsa,BUF,D,52,48.15,114,47.9
Marco Rossi,"MIN, VAN",C,124,66.67,226,55.67
Mike Matheson,MTL,D,121,34.67,344,38.96
Connor Clattenburg,EDM,C,1,100,3,33.33
Mathew Dumba,PIT,D,8,28.57,38,46.34
Christian Dvorak,PHI,C,170,51.99,323,50.08
Carl Grundstrom,PHI,R,62,48.06,115,47.33
Maveric Lamoureux,UTA,D,5,45.45,11,44
Adam Sykora,NYR,L,19,51.35,32,55.17
Matthew Kessel,STL,D,50,61.73,86,55.48
Brad Lambert,WPG,C,33,66,55,51.89
Philipp Kurashev,S.J,C,49,38.28,98,34.63
Jake Middleton,MIN,D,91,38.89,293,45.78
Jani Nyman,SEA,R,61,80.26,91,68.94
Auston Matthews,TOR,C,177,58.8,338,53.57
Ty Mueller,VAN,C,12,60,20,54.05
Shane Wright,SEA,C,202,77.39,317,66.6
Zach Aston-Reese,CBJ,"C, L",20,32.26,34,26.36
Andre Burakovsky,CHI,L,185,70.34,324,61.95
David Jiricek,"MIN, PHI",D,26,36.11,71,40.11
Curtis Lazar,EDM,C,46,31.29,77,32.35
Louis Crevier,CHI,D,78,24.92,219,31.83
Colin Miller,WPG,D,18,36.73,61,50.41
Vince Dunn,SEA,D,200,47.06,475,48.42
Ivan Miroshnichenko,WSH,L,11,40.74,19,35.85
Will Borgen,NYR,D,94,33.69,279,44.57
Noah Laba,NYR,C,98,46.45,188,44.13
Ryan Leonard,WSH,R,109,45.99,191,43.71
Kasperi Kapanen,EDM,R,68,54.84,129,50.79
Jonathan Marchessault,NSH,R,129,58.9,251,50.4
Brandon Duhaime,WSH,"L, R",56,18.73,103,22.01
Jonah Gadjovich,FLA,L,11,44,23,42.59
Walker Duehr,WPG,R,5,71.43,10,62.5
Aydar Suniev,CGY,L,10,71.43,16,55.17
Nikolas Matinpalo,OTT,D,63,46.32,141,42.34
Miles Wood,CBJ,L,71,43.56,137,38.59
Noah Gregor,FLA,L,59,56.73,101,54.3
Braden Schneider,NYR,D,100,35.97,307,42.17
Brendan Smith,CBJ,D,24,58.54,43,55.13
Erik Gustafsson,DET,D,6,50,15,65.22
Jaycob Megna,VGK,D,2,22.22,6,35.29
Beck Malenstyn,BUF,L,59,26.34,91,25.28
Alexander Holtz,VGK,R,46,58.97,87,52.1
Ilya Protas,WSH,L,5,29.41,17,40.48
Jamie Oleksiak,SEA,D,87,40.65,262,45.09
Carter Mazur,DET,L,10,33.33,16,39.02
Ethan Del Mastro,CHI,D,15,26.79,47,36.43
Tyson Foerster,PHI,R,50,48.54,84,44.21
Wyatt Johnston,DAL,C,196,59.21,375,53.27
Tanner Pearson,"BUF, WPG",L,51,30.36,88,30.66
Travis Hamonic,DET,D,29,39.19,85,44.74
Mattias Janmark,EDM,C,42,36.21,83,37.73
Mikko Rantanen,DAL,R,179,63.03,338,56.81
Yakov Trenin,MIN,C,78,36.11,195,37.79
Philip Tomasino,PIT,R,13,61.9,25,59.52
Nicolas Aube-Kubel,MIN,R,6,35.29,21,58.33
Nick Leddy,S.J,D,76,59.84,169,54.87
Scott Mayfield,NYI,D,127,52.26,290,52.44
Ben Meyers,SEA,C,33,18.64,54,20.69
Mario Ferraro,S.J,D,108,36.24,320,40.92
Kaiden Guhle,MTL,D,42,31.34,129,38.62
Troy Stecher,"EDM, TOR",D,92,38.02,228,43.02
Calum Ritchie,NYI,C,125,67.2,223,60.11
Noah Juulsen,PHI,D,88,60.69,186,57.76
Ryker Evans,SEA,D,74,46.25,222,47.84
Isac Lundeström,CBJ,C,75,39.27,136,34.69
Easton Cowan,TOR,R,112,57.14,220,53.27
Adam Erne,DAL,L,45,45.45,87,39.73
Lukas Reichel,"BOS, CHI, VAN",L,43,57.33,81,53.64
Matt Duchene,DAL,C,114,60.32,219,55.44
Jacob Bernard-Docker,DET,D,88,41.12,232,45.94
Mikulas Hovorka,FLA,D,8,66.67,14,56
Jaden Schwartz,SEA,L,120,49.59,177,44.7
Wyatt Kaiser,CHI,D,150,49.83,361,51.28
Ivan Demidov,MTL,R,173,71.19,289,60.59
Luke Kunin,FLA,C,91,56.88,148,49.17
Connor Murphy,"CHI, EDM",D,91,33.96,220,37.35
Radek Faksa,DAL,C,34,26.36,78,29.55
Artyom Levshunov,CHI,D,165,65.48,356,59.43
Frank Nazar,CHI,C,147,51.04,251,46.74
Sam Rinzel,CHI,D,117,59.69,261,57.62
Brett Berard,NYR,L,10,45.45,21,37.5
Jake DeBrusk,VAN,L,192,51.34,310,47.04
Michael Rasmussen,DET,C,115,50,182,45.5
Drew Fortescue,NYR,D,11,45.83,26,40.63
Jamie Benn,DAL,L,104,51.74,210,53.44
Avery Hayes,PIT,R,23,65.71,45,55.56
Dennis Cholowski,N.J,D,23,46,45,41.67
John Leonard,DET,L,19,47.5,36,50.7
Wilmer Skoog,FLA,C,3,25,5,31.25
Alex Bump,PHI,L,36,65.45,63,58.88
Ty Murchison,PHI,D,9,64.29,15,53.57
Alex Vlasic,CHI,D,108,32.14,286,36.11
Vincent Iorio,"NYR, S.J",D,42,51.22,95,50.8
Nick Bjugstad,"N.J, STL",C,81,43.32,140,43.34
Max Domi,TOR,C,171,53.77,335,50.38
Keaton Middleton,COL,D,1,20,2,22.22
Garnet Hathaway,PHI,R,71,40.34,125,40.19
Adam Larsson,SEA,D,148,40.22,429,44.83
Robby Fabbri,"MIN, STL",C,24,41.38,45,41.67
Nathan Walker,STL,L,48,35.56,86,34.54
Elias Pettersson,VAN,C,203,54.86,342,50.52
Ilya Mikheyev,CHI,R,109,36.21,192,31.48
Ryan Lindgren,SEA,D,108,39.27,309,44.21
Shakir Mukhamadullin,S.J,D,73,43.45,191,43.12
Max Shabanov,NYI,R,85,55.56,135,48.56
Alex Newhook,MTL,C,90,68.7,159,58.24
Tyler Seguin,DAL,C,57,44.19,97,42.92
Conor Timmins,BUF,D,69,41.07,160,44.69
Jett Luchanko,PHI,C,4,80,9,75
Adam Gaudette,S.J,R,77,38.12,140,35.35
Ryan Winterton,SEA,C,92,39.83,136,36.56
Collin Graf,S.J,R,165,57.49,285,46.95
Alex Petrovic,DAL,D,55,37.16,144,39.13
Isaac Howard,EDM,L,46,70.77,71,57.26
Vladimir Tarasenko,MIN,R,122,46.74,287,46.07
Conor Geekie,T.B,C,25,59.52,42,56
Cole Reinhardt,"FLA, VGK",L,70,48.95,123,44.89
Jeff Skinner,S.J,L,42,41.58,72,39.13
Matěj  Blümel,BOS,R,5,35.71,12,40
Dakota Joshua,TOR,C,35,23.33,100,31.85
Jake McCabe,TOR,D,122,29.47,296,35.03
Nicholas Robertson,TOR,L,112,50.91,204,45.03
Isak Rosen,"BUF, WPG",R,59,61.46,104,55.61
Brock Boeser,VAN,R,188,54.02,333,49.63
Jordan Oesterle,NSH,D,2,100,3,75
Zack Ostapchuk,S.J,C,60,38.96,101,34.59
Scott Laughton,"L.A, TOR",C,37,14.4,90,19.52
Paul Cotter,N.J,L,128,60.09,214,51.69
Teddy Blueger,VAN,C,41,30.15,78,28.57
Jack Studnicka,FLA,C,28,62.22,39,54.17
Anthony Duclair,NYI,L,124,61.69,217,55.5
Connor Bedard,CHI,C,201,66.56,364,56.7
Mason Geertsen,BUF,L,2,28.57,5,41.67
Marcus Pettersson,VAN,D,121,34.08,309,37.36
Nico Sturm,MIN,C,24,20.34,84,32.94
Olle Lycksell,OTT,R,12,92.31,14,70
Rodrigo Abols,PHI,C,31,38.27,80,43.48
Ryan Ufko,NSH,D,22,57.89,67,56.78
Vinnie Hinostroza,"FLA, MIN",C,70,44.59,131,39.34
Aleksanteri Kaskimaki,STL,C,8,53.33,18,60
Ryan Greene,CHI,C,196,51.44,340,48.43
Oliver Bonk,PHI,D,4,100,4,80
Sam Colangelo,ANA,R,16,55.17,23,47.92
Elias Pettersson,VAN,D,97,41.1,210,41.58
Dryden Hunt,CGY,L,3,33.33,5,26.32
Carter Yakemchuk,OTT,D,21,91.3,25,80.65
Matvei Gridin,CGY,R,118,77.12,198,69.47
Brandon Carlo,TOR,D,102,43.97,205,43.07
Juuso Parssinen,NYR,C,23,62.16,37,45.68
Ethan Cardwell,S.J,R,7,35,17,36.96
Riley Tufte,BOS,L,1,14.29,5,23.81
Luca Del Bel Belluz,CBJ,C,16,48.48,25,37.88
Eeli Tolvanen,SEA,R,143,40.17,245,38.16
Luke Schenn,"BUF, WPG",D,53,38.41,126,42.28
Victor Soderstrom,BOS,D,17,60.71,40,59.7
Oliver Kapanen,MTL,C,178,67.42,292,57.94
Landon Slaggert,CHI,L,58,45.31,91,40.44
Parker Ford,WPG,C,9,45,18,38.3
Mackenzie MacEachern,VAN,L,12,46.15,15,37.5
Steven Lorentz,TOR,C,38,21.84,89,26.41
Luca Cagnoni,S.J,D,7,77.78,20,58.82
Brady Martin,NSH,C,11,100,13,61.9
Jordan Greenway,BUF,L,44,32.35,72,31.3
Tom Willander,VAN,D,110,46.22,250,46.73
Ryan Reaves,S.J,R,50,51.02,75,40.54
Kirill Kudryavtsev,VAN,D,5,41.67,12,48
Reid Schaefer,NSH,L,50,43.48,109,39.78
Ilya Lyubushkin,DAL,D,48,35.56,127,37.13
Sacha Boisvert,CHI,C,7,58.33,12,48
Timothy Liljegren,"S.J, WSH",D,70,35.53,180,38.79
Alexander Romanov,NYI,D,28,59.57,89,59.73
Evgenii Dadonov,N.J,L,42,62.69,64,50.39
Philippe Myers,TOR,D,53,42.06,105,40.86
Matthew Knies,TOR,L,178,56.87,357,50.85
Liam Ohgren,"MIN, VAN",L,120,57.97,204,47.78
Caleb Jones,PIT,D,8,34.78,20,35.09
Patrick Giles,S.J,R,2,22.22,4,25
Brayden Yager,WPG,C,3,75,5,55.56
John Beecher,"BOS, CGY",C,18,31.58,44,30.99
Juho Lammikko,N.J,C,29,47.54,59,51.3
Adam Boqvist,NYI,D,47,61.04,106,63.1
Barclay Goodrow,S.J,C,84,39.44,135,32.37
Dylan McIlrath,WSH,D,7,22.58,21,33.33
Haydn Fleury,WPG,D,42,50.6,100,50.25
Tyson Kozak,BUF,C,47,29.01,72,27.07
Joseph LaBate,VAN,C,1,100,1,33.33
Brian Halonen,N.J,L,21,61.76,31,50
Viking Gustafsson-Nyberg,MIN,D,4,36.36,10,43.48
Ludvig Jansson,FLA,D,11,52.38,19,50
Abram Wiebe,CGY,D,11,64.71,23,67.65
Matt Kiersted,MIN,D,14,42.42,25,46.3
Noah Philp,"CAR, EDM",C,16,38.1,25,30.12
Ryan Johnson,BUF,D,1,14.29,3,25
Erik Gudbranson,CBJ,D,37,33.94,110,38.6
Alexey Toropchenko,STL,R,58,28.16,98,28.65
Kai Uchacz,VGK,C,5,55.56,9,60
Henry Thrun,TOR,D,5,29.41,11,31.43
Frederic Gaudreau,SEA,C,91,23.82,159,25.9
Georgii Merkulov,BOS,C,2,100,3,75
Cale Fleury,SEA,D,20,32.26,58,34.32
Luke Glendening,"N.J, PHI",C,106,40.93,162,39.8
Riley Stillman,EDM,D,3,20,9,34.62
Joshua Mahura,SEA,D,27,42.86,68,40.72
Hugh McGing,STL,L,4,66.67,8,57.14
Simon Lundmark,T.B,D,3,100,6,60
Tyler Pitlick,MIN,C,16,28.07,36,27.07
Brennan Othmann,"CGY, NYR",L,20,50,35,43.21
Chandler Stephenson,SEA,C,149,32.89,254,31.83
Anton Frondell,CHI,C,18,48.65,48,45.71
Calle Jarnkrok,TOR,C,28,20,71,26.2
Anthony Richard,PHI,C,1,50,1,50
Ryan Tverberg,TOR,C,1,50,4,66.67
Simon Benoit,TOR,D,55,19.78,160,28.73
Nils Aman,VAN,C,2,100,2,50
Ben Jones,MIN,C,9,17.31,31,23.66
Matthew Benning,TOR,D,0,0,1,20
Xavier Parent,N.J,C,5,45.45,13,48.15
Jacob Quillan,TOR,C,7,20.59,30,32.97
Travis Mitchell,NYI,D,19,70.37,38,67.86
Angus Crookshank,N.J,C,11,52.38,20,46.51
Ty Dellandrea,S.J,C,53,35.57,89,30.69
Joakim Kemell,NSH,R,18,40,39,37.14
Marshall Rifai,TOR,D,1,50,1,33.33
Quinn Hutson,EDM,R,7,87.5,9,64.29
Oskar Sundqvist,STL,C,54,30.17,85,28.24
Michael Pezzetta,TOR,L,0,0,6,35.29
Anton Blidh,NYR,L,3,42.86,5,35.71
Justin Danforth,BUF,R,8,57.14,15,57.69
Daemon Hunt,MIN,D,32,41.03,78,40.84
Florian Xhekaj,MTL,L,8,57.14,10,43.48
Victor Mancini,VAN,D,44,58.67,88,52.38
Dominik Shine,DET,R,14,56,21,43.75
Liam Foudy,NYI,C,0,0,1,33.33
Felix Unger Sorum,CAR,R,1,50,2,40
Isaak Phillips,WPG,D,5,41.67,7,43.75
Hunter Skinner,STL,D,1,100,1,100
Dylan Duke,T.B,L,4,80,5,83.33
Marc McLaughlin,N.J,C,6,50,13,44.83
Adam Ginning,PHI,D,6,60,15,50
William Stromgren,CGY,L,1,100,2,50
T.J. Tynan,COL,C,0,0,4,40
Jonathan Lekkerimäki,VAN,R,20,76.92,38,67.86
Garrett Wilson,PHI,L,5,62.5,6,54.55
Kurtis MacDermid,OTT,L,25,86.21,29,67.44
Lane Pederson,PHI,C,4,57.14,7,46.67
Patrik Laine,MTL,L,3,33.33,4,21.05
Justin Dowling,NYR,C,0,0,0,0
Bo Groulx,TOR,C,10,30.3,23,31.08
Isaiah George,NYI,D,2,15.38,7,25
Tyson Gross,CGY,C,3,16.67,8,25
John Hayden,SEA,C,1,20,1,11.11
Cameron Hughes,DAL,C,0,0,2,22.22
Cole McWard,NYI,D,2,33.33,4,30.77
Tristan Broz,PIT,C,2,100,4,80
Jake Livanavage,PIT,D,0,-,2,25
Maxim Groshev,T.B,D,0,0,2,13.33
Angus Booth,L.A,D,1,20,1,11.11
Cole O'Hara,NSH,R,0,0,3,30
Sheldon Dries,DET,C,4,44.44,5,38.46
Domenick Fensore,CAR,D,4,80,6,54.55
Andrew Agozzino,UTA,L,3,100,3,50
Braeden Cootes,VAN,C,3,60,7,58.33
Derek Forbort,VAN,D,4,66.67,6,50
Daniil Miromanov,CGY,D,1,14.29,2,15.38
Danil Zhilkin,WPG,C,2,33.33,6,35.29
Shane Lachance,N.J,L,2,100,3,75
Kevin Gravel,NSH,D,1,33.33,4,36.36
Jorian Donovan,OTT,D,0,-,1,100
Nathan Légaré,N.J,R,2,100,3,75
David Spacek,MIN,D,2,28.57,6,37.5
Trevor Kuntar,BUF,C,0,0,0,0
