Player,Team,Pos,PPP
Connor McDavid,EDM,C,54
Nikita Kucherov,TBL,RW,37
Nathan MacKinnon,COL,C,30
Macklin Celebrini,SJS,C,33
Mark Scheifele,WPG,C,22
Nick Suzuki,MTL,C,43
Martin Necas,COL,C,24
David Pastrnak,BOS,RW,33
Leon Draisaitl,EDM,C,42
Jason Robertson,DAL,LW,41
Evan Bouchard,EDM,D,33
Kyle Connor,WPG,LW,19
Jack Eichel,VGK,C,28
Kirill Kaprizov,MIN,LW,32
Cole Caufield,MTL,RW,29
Jake Guentzel,TBL,C,30
Clayton Keller,UTA,RW,27
Wyatt Johnston,DAL,C,42
Matt Boldy,MIN,LW,30
Alex DeBrincat,DET,RW,23
Artemi Panarin,"NYR,LAK",LW,23
Tim Stützle,OTT,C,29
Tage Thompson,BUF,C,24
Zach Werenski,CBJ,D,21
Sebastian Aho,CAR,C,27
Mitch Marner,VGK,RW,24
William Nylander,TOR,RW,22
Cale Makar,COL,D,29
Mika Zibanejad,NYR,C,35
Lane Hutson,MTL,D,20
Jack Hughes,NJD,C,23
Mikko Rantanen,DAL,R,34
Lucas Raymond,DET,LW,27
Quinn Hughes,"VAN,MIN",D,34
Filip Forsberg,NSH,LW,26
Connor Bedard,CHI,C,21
Brandon Hagel,TBL,LW,12
Nick Schmaltz,UTA,C,20
Sidney Crosby,PIT,C,23
Ryan O'Reilly,NSH,C,20
Rasmus Dahlin,BUF,D,22
Dylan Guenther,UTA,RW,24
Adrian Kempe,LAK,RW,12
Juraj Slafkovský,MTL,LW,28
Mark Stone,VGK,RW,27
Mathew Barzal,NYI,C,20
Drake Batherson,OTT,RW,30
John Tavares,TOR,C,21
Nikolaj Ehlers,CAR,LW,29
Jesper Bratt,NJD,LW,20
Andrei Svechnikov,CAR,RW,29
Darren Raddysh,TBL,D,26
Cutter Gauthier,ANA,LW,19
Gabriel Vilardi,WPG,C,24
Morgan Geekie,BOS,C,24
Travis Konecny,PHI,RW,14
Dylan Larkin,DET,C,24
Leo Carlsson,ANA,C,18
Kirill Marchenko,CBJ,RW,23
Trevor Zegras,PHI,C,23
Steven Stamkos,NSH,C,26
Alex Tuch,BUF,RW,9
Seth Jarvis,CAR,RW,21
Nico Hischier,NJD,C,23
Matthew Knies,TOR,LW,16
Erik Karlsson,PIT,D,26
Brock Nelson,COL,C,18
Pavel Zacha,BOS,C,22
Bryan Rust,PIT,RW,24
Pavel Dorofeyev,VGK,RW,30
Anthony Mantha,PIT,RW,13
Alex Ovechkin,WSH,LW,19
Robert Thomas,STL,C,14
Miro Heiskanen,DAL,D,28
Tom Wilson,WSH,RW,12
Ivan Demidov,MTL,RW,20
Sam Reinhart,FLA,C,25
Ivan Barbashev,VGK,LW,6
Evgeni Malkin,PIT,C,22
Charlie McAvoy,BOS,D,23
Jakob Chychrun,WSH,D,18
Beckett Sennecke,ANA,RW,13
John Carlson,"WSH,ANA",D,14
Moritz Seider,DET,D,28
Dylan Cozens,OTT,C,29
Adam Fantilli,CBJ,C,13
Will Smith,SJS,C,17
Matthew Schaefer,NYI,D,18
Brady Tkachuk,OTT,LW,20
Mikhail Sergachev,UTA,D,26
Tyler Bertuzzi,CHI,LW,21
Sam Bennett,FLA,C,14
Tomas Hertl,VGK,C,25
Charlie Coyle,CBJ,C,13
Dylan Strome,WSH,C,21
Jackson LaCombe,ANA,D,17
Bo Horvat,NYI,C,16
Alexis Lafrenière,NYR,LW,15
Troy Terry,ANA,RW,12
Patrick Kane,DET,RW,19
Ryan Nugent-Hopkins,EDM,C,29
Luke Evangelista,NSH,RW,17
Jordan Eberle,SEA,RW,16
Carter Verhaeghe,FLA,C,11
Alexander Wennberg,SJS,C,15
Josh Morrissey,WPG,D,16
Roman Josi,NSH,D,24
Brad Marchand,FLA,LW,20
Viktor Arvidsson,BOS,LW,9
Mats Zuccarello,MIN,RW,21
Ryan McLeod,BUF,C,7
Jake Sanderson,OTT,D,22
Auston Matthews,TOR,C,12
Jackson Blake,CAR,RW,12
J.T. Miller,NYR,C,19
Vincent Trocheck,NYR,C,16
William Eklund,SJS,LW,16
Adam Fox,NYR,D,24
Zach Hyman,EDM,LW,15
Aliaksei Protas,WSH,LW,1
Josh Doan,BUF,RW,17
Anthony Cirelli,TBL,C,4
Owen Tippett,PHI,RW,7
Dylan Holloway,STL,LW,8
Jimmy Snuggerud,STL,RW,9
Jack Quinn,BUF,RW,11
Matvei Michkov,PHI,RW,12
Joel Eriksson Ek,MIN,C,16
Christian Dvorak,PHI,C,5
Elias Pettersson,VAN,C,22
Brock Faber,MIN,D,11
Chris Kreider,ANA,LW,17
Matty Beniers,SEA,C,11
Brayden Point,TBL,C,11
Nazem Kadri,"CGY,COL",C,19
Shayne Gostisbehere,CAR,D,18
Quinton Byfield,LAK,RW,11
Tyler Toffoli,SJS,C,15
Valeri Nichushkin,COL,RW,4
Chandler Stephenson,SEA,C,16
Marcus Johansson,MIN,LW,9
Claude Giroux,OTT,R,13
Filip Hronek,VAN,D,21
Rickard Rakell,PIT,RW,16
Brock Boeser,VAN,RW,19
Artturi Lehkonen,COL,LW,2
Pavel Buchnevich,STL,LW,15
Taylor Hall,CAR,LW,7
Elias Lindholm,BOS,C,20
JJ Peterka,UTA,RW,5
Vladimir Tarasenko,MIN,RW,13
Noah Cates,PHI,LW,9
Rasmus Andersson,"CGY,VGK",D,13
Noah Dobson,MTL,D,7
Bobby McMann,"TOR,SEA",C,6
Shane Pinto,OTT,C,5
Collin Graf,SJS,RW,1
Jordan Kyrou,STL,RW,14
Connor McMichael,WSH,LW,5
Jason Zucker,BUF,LW,16
Ryan Leonard,WSH,RW,14
Mason Marchment,"SEA,CBJ",LW,7
Matt Coronato,CGY,RW,15
Matt Duchene,DAL,C,14
Timo Meier,NJD,RW,10
Lawson Crouse,UTA,LW,1
Alex Laferriere,LAK,RW,5
Logan Stankoven,CAR,C,9
Anton Lundell,FLA,C,15
Roope Hintz,DAL,C,19
Vince Dunn,SEA,D,21
Logan Cooley,UTA,C,10
Ryan Hartman,MIN,RW,7
Morgan Frost,CGY,C,16
Connor Brown,NJD,RW,8
Mikael Backlund,CGY,C,3
Zach Benson,BUF,LW,5
Andrew Copp,DET,C,8
Jake DeBrusk,VAN,LW,24
Egor Chinakhov,"CBJ,PIT",R,6
Dawson Mercer,NJD,C,7
Anders Lee,NYI,LW,8
Thomas Novak,PIT,C,7
Casey Mittelstadt,BOS,C,7
Bowen Byram,BUF,D,7
Mavrik Bourque,DAL,C,5
Mikael Granlund,ANA,C,12
Simon Holmstrom,NYI,RW,4
Mason McTavish,ANA,C,11
Frank Nazar,CHI,C,12
Mattias Samuelsson,BUF,D,0
Mattias Ekholm,EDM,D,3
Jared McCann,SEA,LW,13
Kevin Fiala,LAK,LW,17
Justin Faulk,"STL,DET",D,9
Kaapo Kakko,SEA,RW,8
Brandt Clarke,LAK,D,13
Sam Malinski,COL,D,1
Brayden Schenn,"STL,NYI",C,9
Matias Maccelli,TOR,LW,8
Dougie Hamilton,NJD,D,14
Peyton Krebs,BUF,C,1
Shea Theodore,VGK,D,5
Oliver Ekman-Larsson,TOR,D,9
Joel Farabee,CGY,LW,3
Will Cuylle,NYR,LW,8
Erik Haula,NSH,LW,12
Boone Jenner,CBJ,C,3
Anze Kopitar,LAK,C,12
Oliver Kapanen,MTL,C,1
Vasily Podkolzin,EDM,RW,3
Matt Savoie,EDM,C,7
Corey Perry,"LAK,TBL",RW,13
Travis Sanheim,PHI,D,3
K'Andre Miller,CAR,D,3
Mike Matheson,MTL,D,1
Dmitry Orlov,SJS,D,18
Kiefer Sherwood,"VAN,SJS",LW,12
Jack Roslovic,EDM,C,6
Jordan Staal,CAR,C,4
Ilya Mikheyev,CHI,RW,0
Jamie Benn,DAL,LW,6
Jake Neighbours,STL,LW,7
Sean Monahan,CBJ,C,10
Sean Couturier,PHI,C,1
Max Domi,TOR,C,8
Eeli Tolvanen,SEA,RW,14
Morgan Rielly,TOR,D,6
Ryan Poehling,ANA,C,1
Thomas Harley,DAL,D,7
John Marino,UTA,D,0
Parker Kelly,COL,C,0
Blake Coleman,CGY,LW,1
Jean-Gabriel Pageau,NYI,C,1
Fraser Minten,BOS,C,3
Ben Kindel,PIT,C,10
Michael Amadio,OTT,R,0
Linus Karlsson,VAN,C,4
Justin Sourdif,WSH,C,3
Gabriel Landeskog,COL,LW,5
Teuvo Teravainen,CHI,C,19
Vladislav Gavrikov,NYR,D,6
Ridly Greig,OTT,C,3
Brent Burns,COL,D,1
Marco Rossi,"MIN,VAN",C,14
Jacob Trouba,ANA,D,1
Ryan Shea,PIT,D,0
Luke Hughes,NJD,D,13
Tony DeAngelo,NYI,D,7
Justin Brazeau,PIT,RW,5
Matthew Tkachuk,FLA,LW,13
Josh Norris,BUF,C,9
Philip Broberg,STL,D,5
Kris Letang,PIT,D,10
Fabian Zetterlund,OTT,LW,8
Alex Killorn,ANA,LW,5
Marat Khusnutdinov,BOS,C,1
Michael Bunting,"NSH,DAL",LW,10
Conor Garland,"VAN,CBJ",RW,10
Sam Steel,DAL,C,3
Andre Burakovsky,CHI,LW,10
Eetu Luostarinen,FLA,C,1
Alexander Nikishin,CAR,D,10
Gage Goncalves,TBL,C,2
Cole Sillinger,CBJ,C,1
Anthony-John (AJ) Greer,FLA,LW,1
Dmitri Voronkov,CBJ,LW,9
Nicholas Robertson,TOR,LW,4
Trevor Moore,LAK,LW,1
Oliver Bjorkstrand,TBL,RW,14
Cole Perfetti,WPG,C,6
Mackie Samoskevich,FLA,RW,10
Brandon Montour,SEA,D,8
Damon Severson,CBJ,D,4
Jamie Drysdale,PHI,D,9
Seth Jones,FLA,D,16
Esa Lindell,DAL,D,2
Emil Heineman,NYI,LW,4
Michael Carcone,UTA,LW,4
James van Riemsdyk,DET,LW,11
Evander Kane,VAN,LW,6
Victor Olofsson,"COL,CGY",LW,7
Arseny Gritsyuk,NJD,RW,5
Denton Mateychuk,CBJ,D,3
Jonathan Marchessault,NSH,RW,8
Evan Rodrigues,FLA,C,5
Ivan Provorov,CBJ,D,5
Sean Walker,CAR,D,1
Thomas Chabot,OTT,D,7
Jordan Spence,OTT,D,3
Josh Manson,COL,D,0
Matthew Wood,NSH,RW,8
Ryan Donato,CHI,C,2
Bobby Brink,"PHI,MIN",RW,7
Connor Dewar,PIT,C,0
Justin Hryckowian,DAL,C,5
Calum Ritchie,NYI,C,11
Emmitt Finnie,DET,C,8
Zachary Bolduc,MTL,RW,6
Artem Zub,OTT,D,0
Cam Fowler,STL,D,9
Parker Wotherspoon,PIT,D,0
Drew O'Connor,VAN,LW,0
Yegor Sharangovich,CGY,C,7
Alex Iafallo,WPG,LW,5
Pius Suter,STL,C,4
Jordan Martinook,CAR,LW,0
Ryan Greene,CHI,C,4
Jonathan Toews,WPG,C,8
Easton Cowan,TOR,RW,6
Owen Power,BUF,D,0
J.J. Moser,TBL,D,1
Charle-Edouard D'Astous,TBL,D,2
Rasmus Sandin,WSH,D,1
Anthony Beauvillier,WSH,RW,1
David Perron,"OTT,DET",LW,8
J.T. Compher,DET,LW,1
Yanni Gourde,TBL,C,0
MacKenzie Weegar,"CGY,UTA",D,6
Noah Hanifin,VGK,D,7
Gustav Forsling,FLA,D,2
Anthony Duclair,NYI,LW,6
Shane Wright,SEA,C,6
Danila Yurov,MIN,RW,3
Gabe Perreault,NYR,RW,6
Noah Ostlund,BUF,C,6
John Klingberg,SJS,D,9
Jack Drury,COL,C,0
Sean Durzi,UTA,D,4
Martin Fehervary,WSH,D,0
Ryan Pulock,NYI,D,1
Cody Glass,NJD,C,2
Reilly Smith,VGK,RW,1
Mathieu Olivier,CBJ,RW,0
Jaden Schwartz,SEA,LW,3
Simon Nemec,NJD,D,2
Logan Stanley,"WPG,BUF",D,1
Braeden Bowman,VGK,RW,4
Mason Lohrei,BOS,D,5
Zeev Buium,"MIN,VAN",D,13
Hampus Lindholm,BOS,D,4
Aaron Ekblad,FLA,D,5
Cam York,PHI,D,7
Brady Skjei,NSH,D,3
Adam Gaudette,SJS,RW,6
Joel Armia,LAK,RW,1
Noel Acciari,PIT,C,0
Alex Newhook,MTL,C,3
Andrei Kuzmenko,LAK,LW,13
Connor Zary,CGY,C,7
Jonathan Huberdeau,CGY,LW,7
Barrett Hayton,UTA,C,6
Jack McBain,UTA,C,0
Simon Edvinsson,DET,D,1
Nicolas Roy,"TOR,COL",C,2
Adam Larsson,SEA,D,0
Louis Crevier,CHI,D,0
Jake McCabe,TOR,D,0
Jake Evans,MTL,C,0
Ethen Frank,WSH,RW,4
Ross Colton,COL,C,0
Noah Laba,NYR,C,5
Nick Blankenburg,"NSH,COL",D,7
Darnell Nurse,EDM,D,0
Freddy Gaudreau,SEA,C,3
Jonathan Drouin,"NYI,STL",LW,6
Devon Toews,COL,D,1
Artyom Levshunov,CHI,D,11
Josh Anderson,MTL,RW,0
Kailer Yamamoto,UTA,RW,0
Morgan Barron,WPG,C,0
Nick Cousins,OTT,C,0
Brendan Gallagher,MTL,RW,5
Mario Ferraro,SJS,D,0
Yakov Trenin,MIN,C,0
Drew Doughty,LAK,D,1
Ian Cole,UTA,D,0
Joel Edmundson,LAK,D,3
Brett Howden,VGK,C,3
Mark Kastelic,BOS,C,1
Pontus Holmberg,TBL,RW,0
Jonatan Berggren,"DET,STL",RW,3
Tye Kartye,"SEA,NYR",LW,0
Pavel Mintyukov,ANA,D,2
Alexandre Carrier,MTL,D,0
Kent Johnson,CBJ,C,2
Olen Zellweger,ANA,D,3
Jared Spurgeon,MIN,D,6
Sean Kuraly,BOS,C,0
Tanner Jeannot,BOS,LW,1
Nate Schmidt,UTA,D,0
Nikita Zadorov,BOS,D,0
Dalibor Dvorsky,STL,RW,7
Mark Jankowski,CAR,LW,2
Michael Misa,SJS,C,4
Ryan Strome,"ANA,CGY",C,2
Alexandre Texier,"STL,MTL",LW,1
Axel Sandin-Pellikka,DET,D,7
Ryan McDonagh,TBL,D,0
Nic Dowd,"WSH,VGK",RW,0
Adam Lowry,WPG,C,0
Tom Willander,VAN,D,3
Alex Vlasic,CHI,D,0
Scott Laughton,"TOR,LAK",C,2
Zemgus Girgensons,TBL,C,0
Jake Walman,EDM,D,2
Philipp Kurashev,SJS,C,2
Matvei Gridin,CGY,RW,7
Mikey Anderson,LAK,D,0
Max Sasson,VAN,C,1
Taylor Raddysh,NYR,RW,1
Marco Kasper,DET,C,2
Igor Chernyshov,SJS,LW,5
Nino Niederreiter,WPG,RW,5
Blake Lizotte,PIT,C,0
Pierre-Luc Dubois,WSH,C,6
Oliver Moore,CHI,C,5
Dylan DeMelo,WPG,D,0
Samuel Girard,"COL,PIT",D,0
Matt Roy,WSH,D,0
Eric Robinson,CAR,LW,0
Casey Cizikas,NYI,C,0
Dakota Joshua,TOR,C,0
Michael Eyssimont,BOS,C,4
Liam Ohgren,"MIN,VAN",LW,0
William Carrier,CAR,LW,0
Conor Sheary,NYR,LW,2
Steven Lorentz,TOR,C,0
Kyle Palmieri,NYI,C,5
Vinnie Hinostroza,"MIN,FLA",C,2
Matthew Robertson,NYR,D,0
Adam Klapka,CGY,RW,2
Maksim Shabanov,NYI,RW,5
Jonas Brodin,MIN,D,1
Colton Parayko,STL,D,0
Kevin Stenlund,UTA,C,0
Kevin Bahl,CGY,D,1
Ryan Winterton,SEA,C,0
Marcus Pettersson,VAN,D,0
Tyler Kleven,OTT,D,0
Braden Schneider,NYR,D,0
Warren Foegele,"LAK,OTT",LW,1
Tyson Foerster,PHI,RW,4
Teddy Blueger,VAN,C,1
Michael McCarron,"NSH,MIN",C,0
Kasperi Kapanen,EDM,RW,0
Cole Koepke,WPG,L,0
Ryker Evans,SEA,D,1
Tyler Seguin,DAL,C,4
Jason Dickinson,"CHI,EDM",C,0
Berkly Catton,SEA,C,2
Phillip Danault,"LAK,MTL",C,0
Keegan Kolesar,VGK,RW,0
Wyatt Kaiser,CHI,D,0
Connor Murphy,"CHI,EDM",D,0
Oskar Sundqvist,STL,C,1
Denver Barkey,PHI,C,4
Nick Jensen,OTT,D,0
Fedor Svechkov,NSH,C,0
Tyler Tucker,STL,D,0
Brian Dumoulin,LAK,D,0
Radek Faksa,DAL,C,0
Jalen Chatfield,CAR,D,0
Zach Whitecloud,"VGK,CGY",D,0
Victor Hedman,TBL,D,6
Sam Carrick,"NYR,BUF",C,0
Alex Steeves,BOS,C,3
